,district,size,level,max_levels,price
6259,Чиланзарский,20.0,3,9,29000.0
6260,Чиланзарский,70.0,4,4,93000.0
6261,Чиланзарский,70.0,5,5,80000.0
6262,Учтепинский,63.0,4,4,80000.0
6263,Учтепинский,120.0,1,4,187000.0
6264,Чиланзарский,64.0,3,4,113000.0
6265,Чиланзарский,43.0,2,4,79600.0
6266,Учтепинский,33.0,3,4,47000.0
6267,Чиланзарский,28.0,1,4,51000.0
6268,Мирзо-Улугбекский,40.0,3,3,60000.0
6269,Чиланзарский,85.0,9,9,136000.0
6270,Чиланзарский,68.0,2,4,112000.0
6271,Юнусабадский,60.0,3,9,96000.0
6272,Чиланзарский,62.0,2,4,80000.0
6273,Чиланзарский,69.0,5,9,118000.0
6274,Учтепинский,90.0,7,9,105000.0
6275,Учтепинский,55.0,2,4,87000.0
6276,Чиланзарский,70.0,5,5,82000.0
6277,Чиланзарский,38.0,3,4,63000.0
6278,Чиланзарский,100.0,4,12,108000.0
6279,Учтепинский,92.0,1,4,130000.0
6280,Мирзо-Улугбекский,80.0,4,5,90000.0
6281,Яшнободский,121.0,2,8,232002.0
6282,Учтепинский,38.0,4,4,50000.0
6283,Чиланзарский,63.0,7,9,90000.0
6284,Чиланзарский,66.0,4,4,98000.0
6285,Учтепинский,56.0,4,5,80000.0
6286,Чиланзарский,70.0,1,9,122000.0
6287,Учтепинский,60.0,5,5,68000.0
6288,Чиланзарский,73.0,8,9,76400.0
6289,Чиланзарский,65.0,2,4,89000.0
6290,Учтепинский,54.0,5,9,76000.0
6291,Чиланзарский,105.0,3,9,170000.0
6292,Чиланзарский,128.0,1,9,170000.0
6293,Чиланзарский,102.0,4,8,157000.0
6294,Учтепинский,76.0,5,5,121000.0
6295,Чиланзарский,30.0,4,5,54000.0
6296,Чиланзарский,34.0,1,4,54000.0
6297,Чиланзарский,42.0,2,4,69000.0
6298,Учтепинский,100.0,4,4,108000.0
6299,Чиланзарский,26.0,2,4,45000.0
6300,Яшнободский,50.0,1,9,106000.0
6301,Чиланзарский,80.0,7,9,91000.0
6302,Учтепинский,80.0,5,5,105000.0
6303,Учтепинский,63.0,1,4,74000.0
6304,Учтепинский,80.0,4,5,133000.0
6305,Чиланзарский,96.0,7,9,134000.0
6306,Чиланзарский,72.0,5,5,83000.0
6307,Чиланзарский,80.0,2,4,136000.0
6308,Учтепинский,76.0,4,4,111000.0
6309,Чиланзарский,70.0,5,5,78000.0
6310,Чиланзарский,45.0,2,4,96000.0
6311,Учтепинский,100.0,3,5,123000.0
6312,Шайхантахурский,25.0,3,5,44000.0
6313,Чиланзарский,60.0,9,9,118000.0
6314,Учтепинский,62.0,5,5,96000.0
6315,Чиланзарский,60.0,5,5,94000.0
6316,Чиланзарский,72.0,9,9,72000.0
6317,Учтепинский,80.0,4,5,103000.0
6318,Чиланзарский,91.0,9,9,84400.0
6319,Чиланзарский,80.0,9,9,150000.0
6320,Яшнободский,46.0,1,5,50000.0
6321,Юнусабадский,56.0,1,4,96000.0
6322,Чиланзарский,45.0,4,4,90000.0
6323,Чиланзарский,105.0,9,9,116000.0
6324,Чиланзарский,72.0,8,9,88000.0
6325,Учтепинский,90.0,1,12,102000.0
6326,Чиланзарский,59.0,2,9,102000.0
6327,Чиланзарский,58.0,7,9,72000.0
6328,Чиланзарский,68.0,5,5,94000.0
6329,Учтепинский,82.0,11,12,70000.0
6330,Учтепинский,45.0,5,5,68000.0
6331,Учтепинский,70.0,4,12,102000.0
6332,Чиланзарский,90.0,5,9,116800.0
6333,Яккасарайский,101.0,1,9,238000.0
6334,Яшнободский,65.0,5,5,136000.0
